Id,Label,timeset,G
ASV4518,ASV4518,,Unassigned
ASV5245,ASV5245,,Unassigned
ASV1505,ASV1505,,Unassigned
ASV905,ASV905,,Unassigned
ASV1946,ASV1946,,Unassigned
ASV2486,ASV2486,,Arthrobacter
ASV309,ASV309,,Unassigned
ASV1511,ASV1511,,Microvirga
ASV1513,ASV1513,,Unassigned
ASV2583,ASV2583,,Arthrobacter
ASV5782,ASV5782,,Arthrobacter
ASV852,ASV852,,Unassigned
ASV1514,ASV1514,,Marmoricola
ASV60,ASV60,,Dyadobacter
ASV185,ASV185,,Janibacter
ASV21,ASV21,,Devosia
ASV53,ASV53,,Pseudomonas
ASV1535,ASV1535,,Chryseobacterium
ASV511,ASV511,,Paracocccus
ASV270,ASV270,,Cellulomonas
ASV541,ASV541,,Streptomyces
ASV1712,ASV1712,,Unassigned
ASV1551,ASV1551,,Devosia
ASV421,ASV421,,Unassigned
ASV4277,ASV4277,,Pseudomonas
ASV326,ASV326,,Caulobacter
ASV157,ASV157,,Unassigned
ASV308,ASV308,,Microvirga
ASV1581,ASV1581,,Unassigned
ASV1643,ASV1643,,Sphingomonas
ASV1588,ASV1588,,Acinetobacter
ASV243,ASV243,,Blastocatella
ASV1594,ASV1594,,Arthrobacter
ASV43,ASV43,,Paracocccus
ASV832,ASV832,,Bacillus
ASV201,ASV201,,Unassigned
ASV2599,ASV2599,,Arthrobacter
ASV269,ASV269,,Unassigned
ASV1607,ASV1607,,Pseudomonas
ASV1626,ASV1626,,Unassigned
ASV163,ASV163,,Pedobacter
ASV2185,ASV2185,,Unassigned
ASV169,ASV169,,Unassigned
ASV4257,ASV4257,,Arthrobacter
ASV914,ASV914,,Deinococcus
ASV1691,ASV1691,,Unassigned
ASV455,ASV455,,Pseudoxanthomonas
ASV4229,ASV4229,,Unassigned
ASV1704,ASV1704,,Pseudomonas
ASV2552,ASV2552,,Unassigned
ASV173,ASV173,,Agrococcus
ASV1791,ASV1791,,Unassigned
ASV1733,ASV1733,,Quadrisphaera
ASV353,ASV353,,Arcticibacter
ASV664,ASV664,,Unassigned
ASV2736,ASV2736,,Unassigned
ASV657,ASV657,,Unassigned
ASV640,ASV640,,Nocardioides
ASV787,ASV787,,Roseomonas
ASV813,ASV813,,Unassigned
ASV921,ASV921,,Dietzia
ASV1772,ASV1772,,Marmoricola
ASV2411,ASV2411,,Unassigned
ASV1780,ASV1780,,Roseomonas
ASV549,ASV549,,Rubellimicrobium
ASV217,ASV217,,Unassigned
ASV562,ASV562,,Adhaeribacter
ASV1804,ASV1804,,Unassigned
ASV786,ASV786,,Pseudomonas
ASV1812,ASV1812,,Rhodococcus
ASV382,ASV382,,Georgenia
ASV1830,ASV1830,,Unassigned
ASV667,ASV667,,Massilia
ASV46,ASV46,,Microbacterium
ASV1842,ASV1842,,Arthrobacter
ASV55,ASV55,,Nocardioides
ASV23,ASV23,,Massilia
ASV188,ASV188,,Unassigned
ASV19,ASV19,,Unassigned
ASV193,ASV193,,Nocardioides
ASV3107,ASV3107,,Unassigned
ASV798,ASV798,,Nocardioides
ASV1972,ASV1972,,Unassigned
ASV1986,ASV1986,,Unassigned
ASV3824,ASV3824,,Unassigned
ASV394,ASV394,,Candidatus_Aquirestis
ASV314,ASV314,,Arthrobacter
ASV606,ASV606,,Exiguobacterium
ASV64,ASV64,,Unassigned
ASV2010,ASV2010,,Pseudomonas
ASV202,ASV202,,Arcticibacter
ASV631,ASV631,,Rufibacter
ASV669,ASV669,,Unassigned
ASV203,ASV203,,Altererythrobacter
ASV686,ASV686,,Rhizobium
ASV359,ASV359,,Cellulomonas
ASV449,ASV449,,Nitrospira
ASV658,ASV658,,Blastocatella
ASV757,ASV757,,Synechococcus
ASV209,ASV209,,Stenotrophomonas
ASV434,ASV434,,Microvirga
ASV822,ASV822,,Massilia
ASV2093,ASV2093,,Gordonia
ASV692,ASV692,,Rhizobium
ASV257,ASV257,,Rhizobium
ASV595,ASV595,,Microvirga
ASV211,ASV211,,Unassigned
ASV2114,ASV2114,,Unassigned
ASV2124,ASV2124,,Massilia
ASV386,ASV386,,Nocardioides
ASV3995,ASV3995,,Pseudomonas
ASV241,ASV241,,Unassigned
ASV556,ASV556,,Unassigned
ASV596,ASV596,,Mycobacterium
ASV380,ASV380,,Bacillus
ASV221,ASV221,,Unassigned
ASV2218,ASV2218,,Bacillus
ASV957,ASV957,,Devosia
ASV2220,ASV2220,,Saccharibacillus
ASV2623,ASV2623,,Unassigned
ASV444,ASV444,,Blastocatella
ASV502,ASV502,,Massilia
ASV2242,ASV2242,,Adhaeribacter
ASV884,ASV884,,Lysinibacillus
ASV362,ASV362,,Bacillus
ASV675,ASV675,,Unassigned
ASV2338,ASV2338,,Unassigned
ASV236,ASV236,,Unassigned
ASV2370,ASV2370,,Arthrobacter
ASV305,ASV305,,Arthrobacter
ASV2400,ASV2400,,Cellulosimicrobium
ASV2433,ASV2433,,Flavobacterium
ASV426,ASV426,,Unassigned
ASV4509,ASV4509,,Unassigned
ASV894,ASV894,,Arthrobacter
ASV250,ASV250,,Nocardioides
ASV251,ASV251,,Unassigned
ASV2530,ASV2530,,Unassigned
ASV633,ASV633,,Klebsiella
ASV2570,ASV2570,,Flavobacterium
ASV286,ASV286,,Nocardioides
ASV259,ASV259,,Flavisolibacter
ASV975,ASV975,,Unassigned
ASV2610,ASV2610,,Unassigned
ASV547,ASV547,,Peredibacter
ASV687,ASV687,,Pontibacter
ASV724,ASV724,,Flavisolibacter
ASV622,ASV622,,Haloferula
ASV265,ASV265,,Nocardioides
ASV268,ASV268,,Unassigned
ASV272,ASV272,,Massilia
ASV990,ASV990,,Massilia
ASV274,ASV274,,Nocardioides
ASV275,ASV275,,Brevundimonas
ASV438,ASV438,,Rhodococcus
ASV280,ASV280,,Unassigned
ASV336,ASV336,,Unassigned
ASV4788,ASV4788,,Unassigned
ASV671,ASV671,,Planomicrobium
ASV2817,ASV2817,,Microbacterium
ASV282,ASV282,,Nocardioides
ASV2822,ASV2822,,Unassigned
ASV2850,ASV2850,,Unassigned
ASV490,ASV490,,Unassigned
ASV289,ASV289,,Unassigned
ASV711,ASV711,,Pseudomonas
ASV2940,ASV2940,,Pseudomonas
ASV2974,ASV2974,,Arthrobacter
ASV414,ASV414,,Devosia
ASV86,ASV86,,Flavisolibacter
ASV3189,ASV3189,,Unassigned
ASV75,ASV75,,Brevundimonas
ASV302,ASV302,,Adhaeribacter
ASV838,ASV838,,Nocardioides
ASV311,ASV311,,Arcticibacter
ASV316,ASV316,,Unassigned
ASV317,ASV317,,Unassigned
ASV319,ASV319,,Burkholderia
ASV3238,ASV3238,,Unassigned
ASV4272,ASV4272,,Unassigned
ASV324,ASV324,,Noviherbaspirillum
ASV325,ASV325,,Nibribacter
ASV4983,ASV4983,,Unassigned
ASV510,ASV510,,Flavitalea
ASV423,ASV423,,Unassigned
ASV338,ASV338,,Pedobacter
ASV340,ASV340,,Unassigned
ASV870,ASV870,,Paucimonas
ASV3406,ASV3406,,Arthrobacter
ASV345,ASV345,,Nocardioides
ASV936,ASV936,,Arcticibacter
ASV356,ASV356,,Unassigned
ASV3576,ASV3576,,Nocardioides
ASV358,ASV358,,Unassigned
ASV98,ASV98,,Rhodococcus
ASV3631,ASV3631,,Ornithinimicrobium
ASV366,ASV366,,Arthrobacter
ASV368,ASV368,,Flavisolibacter
ASV370,ASV370,,Unassigned
ASV535,ASV535,,Adhaeribacter
ASV373,ASV373,,Pedobacter
ASV980,ASV980,,Microbacterium
ASV377,ASV377,,Pontibacter
